algorithm	alpha	beta	k	q	valid_precision@10	valid_hit@10	valid_mrr@10	valid_ndcg@10	valid_map@10	valid_itemcoverage@10	valid_averagepopularity@10	valid_tailpercentage@10	test_precision@10	test_hit@10	test_mrr@10	test_ndcg@10	test_map@10	test_itemcoverage@10	test_averagepopularity@10	test_tailpercentage@10	embedding_size	epochs	regularization	learning_rate	n_layers	reg_weight	gamma	ii_neighbor_num	initial_weight	lambda	negative_num	negative_weight	w1	w2	w3	w4	drop_ratio	ssl_tau	ssl_weight	eps	layer_cl	temperature
asymitemknn	0.4	0.8	500.0	1.0	0.0609	0.3527	0.1668	0.0986	0.053	0.1628	42.4209	0.0115	0.1259	0.5124	0.2968	0.1677	0.1052	0.1667	41.5863	0.0128																						
asymitemknn	0.6	0.4	60.0	3.0	0.0399	0.2544	0.0722	0.0531	0.0237	0.1051	11.6644	0.0961	0.0688	0.354	0.099	0.0703	0.0321	0.107	11.4906	0.0974																						
asymitemknn	0.2	0.8	500.0	3.0	0.053	0.3173	0.1499	0.0859	0.0456	0.1287	38.4444	0.001	0.1115	0.4733	0.2696	0.1462	0.0884	0.1305	37.8052	0.001																						
asymitemknn	0.4	0.8	60.0	3.0	0.0639	0.3595	0.1755	0.1042	0.0577	0.147	43.8249	0.0393	0.1299	0.5391	0.302	0.1722	0.1065	0.1509	43.0436	0.0406																						
asymitemknn	0.4	0.8	60.0	1.0	0.0639	0.3595	0.1755	0.1042	0.0577	0.147	43.8249	0.0393	0.1299	0.5391	0.302	0.1722	0.1065	0.1509	43.0436	0.0406																						
asymitemknn	0.4	0.5	60.0	1.0	0.0672	0.3762	0.1719	0.1066	0.0577	0.1134	46.5608	0.0156	0.1362	0.5553	0.2978	0.1754	0.1066	0.1166	45.834	0.0159																						
asymitemknn	0.6	0.5	60.0	1.0	0.0469	0.2888	0.0876	0.0632	0.0295	0.1201	15.8928	0.08	0.0853	0.4036	0.1264	0.0908	0.0448	0.122	15.6886	0.0812																						
asymitemknn	0.8	0.5	1000.0	6.0	0.0059	0.0481	0.0228	0.0087	0.0039	0.0794	1.303	0.1693	0.0087	0.0582	0.0203	0.0092	0.0037	0.0808	1.2885	0.1712																						
asymitemknn	0.2	0.5	60.0	1.0	0.0509	0.3045	0.1356	0.0806	0.0422	0.1032	45.6842	0.0114	0.1003	0.4552	0.2421	0.1322	0.0771	0.1069	44.1479	0.0121																						
asymitemknn	0.0	0.5	60.0	1.0	0.0118	0.0904	0.0395	0.0181	0.0087	0.0925	5.5906	0.0086	0.0224	0.1403	0.0744	0.0296	0.0143	0.0944	5.5259	0.0093																						
asymitemknn	1.0	0.0	100.0	6.0	0.0013	0.0118	0.0046	0.0015	0.0005	0.0178	1.0256	0.3396	0.0018	0.0143	0.0056	0.0024	0.001	0.0186	1.0252	0.337																						
asymitemknn	0.4	0.6	60.0	1.0	0.0679	0.3802	0.1783	0.1087	0.0592	0.1254	46.2885	0.0198	0.1375	0.5639	0.3073	0.1791	0.1096	0.1289	45.6091	0.0202																						
asymitemknn	0.4	0.6	1000.0	7.0	0.0642	0.3694	0.1731	0.1027	0.0552	0.131	45.0836	0.0077	0.131	0.5315	0.3006	0.1722	0.1075	0.133	44.3108	0.0078																						
asymitemknn	0.8	0.6	10000.0	5.0	0.008	0.056	0.025	0.0108	0.0048	0.0935	1.3567	0.2214	0.0114	0.0687	0.0255	0.0119	0.005	0.0962	1.3407	0.2216																						
asymitemknn	0.0	0.6	60.0	1.0	0.013	0.1022	0.0442	0.0196	0.0093	0.1022	5.3745	0.0127	0.0232	0.1431	0.0769	0.0308	0.015	0.1044	5.3145	0.013																						
asymitemknn	0.4	0.6	100.0	4.0	0.067	0.3821	0.1832	0.1075	0.0579	0.1277	47.8797	0.0193	0.1284	0.5363	0.3053	0.1734	0.1071	0.1314	47.2398	0.0198																						
asymitemknn	0.6	0.6	100.0	4.0	0.0468	0.2937	0.0948	0.0657	0.0313	0.1343	19.3172	0.0747	0.0913	0.4017	0.1497	0.1037	0.0569	0.1365	19.1107	0.0761																						
asymitemknn	0.2	0.6	100.0	4.0	0.0489	0.3035	0.1411	0.0796	0.0416	0.1107	44.4046	0.0049	0.099	0.4628	0.2549	0.1333	0.0768	0.1133	42.9309	0.005																						
asymitemknn	1.0	0.6	100.0	4.0	0.0019	0.0147	0.0086	0.0027	0.0011	0.0202	1.022	0.2418	0.002	0.0143	0.007	0.0029	0.0015	0.0208	1.0218	0.2403																						
asymitemknn	0.4	0.2	100.0	4.0	0.0605	0.3821	0.1493	0.0933	0.0468	0.0842	44.9116	0.0101	0.1207	0.5429	0.2473	0.1496	0.0832	0.0865	44.2176	0.0102																						
asymitemknn	0.4	1.0	100.0	5.0	0.0563	0.3212	0.1525	0.0896	0.0485	0.154	39.151	0.09	0.1073	0.4485	0.2465	0.1427	0.0893	0.1579	38.4661	0.0903																						
asymitemknn	0.0	0.6	1000.0	7.0	0.0462	0.2888	0.1319	0.0737	0.038	0.0447	47.6296	0.0	0.0917	0.4342	0.2233	0.1178	0.0668	0.0453	47.0902	0.0																						
asymitemknn	0.8	0.6	200.0	6.0	0.0097	0.0727	0.0276	0.0126	0.0053	0.093	1.5745	0.1472	0.0143	0.0916	0.0332	0.0156	0.0064	0.0946	1.5465	0.1481																						
asymitemknn	1.0	0.0	10000.0	4.0	0.0026	0.0236	0.0059	0.0027	0.0008	0.0323	1.0087	0.1939	0.0029	0.0277	0.0078	0.0032	0.001	0.0329	1.007	0.1934																						
asymitemknn	0.6	0.2	100.0	4.0	0.0175	0.1238	0.0316	0.0225	0.0092	0.0742	4.0801	0.1156	0.0314	0.1956	0.0472	0.0301	0.0118	0.0753	4.0277	0.1175																						
asymitemknn	0.5	1.0	100.0	2.0	0.0558	0.3153	0.1456	0.0883	0.0481	0.1568	33.3471	0.0864	0.1131	0.459	0.2515	0.1478	0.0925	0.1608	32.7515	0.0878																						
asymitemknn	0.4	0.6	200.0	7.0	0.0659	0.3772	0.1795	0.1045	0.0553	0.1388	50.0118	0.0131	0.1277	0.5296	0.3024	0.1715	0.1061	0.1415	49.084	0.0137																						
asymitemknn	0.2	0.6	500.0	5.0	0.0545	0.3271	0.1509	0.0863	0.045	0.0916	44.1956	0.0001	0.1109	0.4857	0.2694	0.1458	0.0874	0.0936	43.4373	0.0001																						
asymitemknn	0.4	0.0	10000.0	4.0	0.0502	0.3065	0.1332	0.0773	0.0388	0.0802	51.6097	0.0292	0.101	0.48	0.2284	0.1248	0.068	0.0814	50.8635	0.0295																						
asymitemknn	0.5	0.6	1000.0	6.0	0.0564	0.3251	0.16	0.0922	0.0496	0.1601	34.1954	0.0274	0.1168	0.4857	0.2543	0.1484	0.0901	0.1634	33.77	0.0282																						
asymitemknn	0.0	0.2	100.0	2.0	0.0128	0.1022	0.0418	0.0196	0.0093	0.0608	9.565	0.0003	0.0276	0.1756	0.0801	0.0356	0.017	0.0616	9.4692	0.0003																						
asymitemknn	0.8	0.4	500.0	4.0	0.0062	0.0491	0.0208	0.0086	0.0038	0.0649	1.2653	0.1649	0.0086	0.0611	0.0187	0.0089	0.0035	0.0663	1.2465	0.1669																						
asymitemknn	0.4	1.0	200.0	5.0	0.0526	0.2967	0.1425	0.0859	0.0469	0.1588	39.1359	0.105	0.1098	0.4485	0.2566	0.1467	0.0924	0.1615	38.4406	0.1049																						
asymitemknn	1.0	0.6	10000.0	7.0	0.0054	0.0413	0.0176	0.0067	0.0027	0.0707	1.0513	0.207	0.0079	0.0487	0.0156	0.008	0.0034	0.0731	1.0466	0.2073																						
asymitemknn	0.6	0.4	1000.0	2.0	0.0221	0.1552	0.0494	0.0291	0.0123	0.1112	7.9713	0.1109	0.0428	0.2424	0.067	0.042	0.0176	0.1132	7.8359	0.1133																						
asymitemknn	0.2	0.0	500.0	6.0	0.0491	0.3134	0.1337	0.0782	0.04	0.0421	54.5983	0.0001	0.1029	0.4905	0.2587	0.1358	0.0767	0.0425	53.6998	0.0001																						
asymitemknn	0.4	0.2	60.0	1.0	0.0595	0.3595	0.1373	0.0901	0.0454	0.0814	42.0115	0.0084	0.1196	0.5372	0.2368	0.1451	0.0798	0.0839	41.3095	0.0091																						
asymitemknn	0.5	1.0	200.0	3.0	0.0531	0.3006	0.142	0.0855	0.0466	0.1579	32.1215	0.1144	0.1085	0.4399	0.2397	0.1407	0.088	0.1611	31.6675	0.1146																						
asymitemknn	0.4	0.6	100.0	1.0	0.067	0.3821	0.1832	0.1075	0.0579	0.1277	47.8797	0.0193	0.1284	0.5363	0.3053	0.1734	0.1071	0.1314	47.2398	0.0198																						
asymitemknn	0.8	0.5	60.0	1.0	0.0083	0.0658	0.0183	0.0098	0.0036	0.0685	1.6165	0.1327	0.0136	0.0926	0.0221	0.0125	0.0044	0.0695	1.5942	0.1339																						
asymitemknn	0.0	0.4	60.0	1.0	0.0114	0.0884	0.037	0.0174	0.0083	0.0834	5.7548	0.0069	0.0213	0.1384	0.0729	0.0285	0.0136	0.0845	5.6897	0.0073																						
asymitemknn	0.6	0.6	60.0	1.0	0.0518	0.3094	0.1047	0.0733	0.0362	0.1348	19.8811	0.0714	0.099	0.4466	0.1682	0.1123	0.0605	0.1371	19.6874	0.0721																						
asymitemknn	0.4	0.0	60.0	1.0	0.0506	0.3271	0.1078	0.0737	0.0354	0.0701	36.8454	0.0104	0.1048	0.5115	0.1887	0.1202	0.0612	0.072	36.2067	0.0114																						
asymitemknn	1.0	0.6	60.0	1.0	0.002	0.0167	0.0079	0.0027	0.0011	0.0242	1.0378	0.2546	0.0031	0.0239	0.0078	0.0035	0.0015	0.0247	1.0375	0.2553																						
asymitemknn	0.2	0.6	60.0	3.0	0.051	0.3084	0.1378	0.0815	0.0431	0.1156	44.1954	0.0161	0.0989	0.4504	0.2448	0.1319	0.0774	0.1195	42.7073	0.017																						
asymitemknn	0.4	0.5	10000.0	7.0	0.0621	0.3566	0.1714	0.0995	0.0538	0.1143	56.467	0.0119	0.1302	0.5401	0.298	0.1677	0.1016	0.1166	55.8747	0.0121																						
asymitemknn	0.8	0.8	1000.0	1.0	0.0092	0.0727	0.0275	0.013	0.0056	0.1034	1.9812	0.1537	0.0144	0.0945	0.0358	0.0167	0.0071	0.1051	1.9245	0.1554																						
asymitemknn	0.0	0.6	500.0	2.0	0.0405	0.2603	0.106	0.0614	0.0308	0.0602	37.401	0.0	0.0848	0.4151	0.2075	0.1076	0.0586	0.0611	37.0102	0.0																						
asymitemknn	0.4	0.4	60.0	6.0	0.0667	0.3772	0.1662	0.104	0.0552	0.102	45.8417	0.0129	0.1332	0.5553	0.2899	0.1706	0.1017	0.1043	44.9781	0.0129																						
asymitemknn	0.6	0.6	200.0	1.0	0.04	0.2564	0.0863	0.0571	0.0265	0.1409	17.2079	0.085	0.0812	0.3635	0.1388	0.091	0.0492	0.1427	17.1525	0.0865																						
asymitemknn	1.0	0.0	60.0	3.0	0.002	0.0167	0.0074	0.0026	0.0011	0.0243	1.0382	0.2526	0.0031	0.0239	0.0081	0.0036	0.0016	0.0248	1.038	0.2532																						
asymitemknn	0.4	0.6	10000.0	1.0	0.0628	0.3605	0.1787	0.102	0.055	0.1252	54.4866	0.0108	0.1362	0.5525	0.3071	0.1757	0.1077	0.1274	53.8172	0.0113																						
asymitemknn	0.2	0.2	60.0	5.0	0.0493	0.2947	0.1237	0.0766	0.0397	0.082	47.2778	0.0068	0.0973	0.4427	0.2348	0.1275	0.0732	0.084	45.8127	0.0073																						
asymitemknn	0.4	0.8	1000.0	7.0	0.0614	0.3477	0.1669	0.0996	0.0541	0.1581	40.3457	0.0121	0.1281	0.5296	0.2886	0.167	0.1041	0.1619	39.6951	0.0128																						
asymitemknn	0.5	1.0	500.0	1.0	0.0504	0.2849	0.1318	0.0817	0.0449	0.1574	29.4124	0.1245	0.1046	0.4179	0.2223	0.1348	0.0855	0.16	29.0086	0.1255																						
asymitemknn	0.4	0.5	60.0	2.0	0.0672	0.3762	0.1719	0.1066	0.0577	0.1134	46.5608	0.0156	0.1362	0.5553	0.2978	0.1754	0.1066	0.1166	45.834	0.0159																						
asymitemknn	0.0	0.6	200.0	6.0	0.0273	0.2024	0.0906	0.0453	0.0226	0.078	20.1372	0.0	0.0552	0.3149	0.1633	0.0731	0.0368	0.0786	19.7821	0.0																						
asymitemknn	0.8	0.4	60.0	1.0	0.0075	0.0589	0.0149	0.0084	0.0029	0.0557	1.4267	0.1367	0.0104	0.0773	0.0189	0.0097	0.0032	0.0566	1.411	0.1381																						
asymitemknn	0.4	0.6	10000.0	3.0	0.0628	0.3605	0.1787	0.102	0.055	0.1252	54.4866	0.0108	0.1362	0.5525	0.3071	0.1757	0.1077	0.1274	53.8172	0.0113																						
asymitemknn	1.0	0.6	1000.0	5.0	0.0012	0.0118	0.0043	0.0018	0.0007	0.037	1.0194	0.0645	0.0019	0.0153	0.0051	0.0021	0.0007	0.0373	1.0165	0.0656																						
asymitemknn	0.6	0.0	60.0	7.0	0.0134	0.1041	0.0251	0.0164	0.0059	0.0573	3.3803	0.1384	0.0222	0.1508	0.0341	0.021	0.0077	0.0577	3.2929	0.1396																						
asymitemknn	0.4	0.6	500.0	1.0	0.0642	0.3654	0.1758	0.1027	0.0553	0.1417	46.6036	0.0092	0.1319	0.542	0.3051	0.1737	0.1077	0.1438	45.7732	0.0097																						
asymitemknn	0.2	0.2	200.0	2.0	0.0497	0.3104	0.1365	0.0806	0.042	0.0613	50.5063	0.0003	0.1028	0.4714	0.2576	0.1365	0.0787	0.0623	49.1721	0.0003																						
asymitemknn	0.4	0.8	60.0	6.0	0.0639	0.3595	0.1755	0.1042	0.0577	0.147	43.8249	0.0393	0.1299	0.5391	0.302	0.1722	0.1065	0.1509	43.0436	0.0406																						
asymitemknn	0.5	1.0	100.0	4.0	0.0558	0.3153	0.1456	0.0883	0.0481	0.1568	33.3471	0.0864	0.1131	0.459	0.2515	0.1478	0.0925	0.1608	32.7515	0.0878																						
asymitemknn	0.0	0.6	100.0	4.0	0.016	0.1208	0.0528	0.0239	0.0114	0.091	8.5598	0.0007	0.0317	0.1918	0.0955	0.0413	0.0201	0.093	8.4906	0.0008																						
asymitemknn	0.4	0.4	1000.0	1.0	0.0628	0.3556	0.1679	0.1	0.0534	0.1072	46.8847	0.0103	0.1253	0.5248	0.2967	0.1664	0.1025	0.1088	46.2556	0.0105																						
asymitemknn	0.6	0.6	500.0	3.0	0.0378	0.2426	0.0866	0.0533	0.0243	0.1488	16.3424	0.0718	0.0741	0.3426	0.1306	0.0824	0.0439	0.1511	16.2352	0.073																						
asymitemknn	1.0	0.0	60.0	5.0	0.002	0.0167	0.0074	0.0026	0.0011	0.0243	1.0382	0.2526	0.0031	0.0239	0.0081	0.0036	0.0016	0.0248	1.038	0.2532																						
asymitemknn	0.4	0.6	100.0	7.0	0.067	0.3821	0.1832	0.1075	0.0579	0.1277	47.8797	0.0193	0.1284	0.5363	0.3053	0.1734	0.1071	0.1314	47.2398	0.0198																						
asymitemknn	0.2	0.2	200.0	7.0	0.0497	0.3104	0.1365	0.0806	0.042	0.0613	50.5063	0.0003	0.1028	0.4714	0.2576	0.1365	0.0787	0.0623	49.1721	0.0003																						
asymitemknn	0.4	0.6	60.0	2.0	0.0679	0.3802	0.1783	0.1087	0.0592	0.1254	46.2885	0.0198	0.1375	0.5639	0.3073	0.1791	0.1096	0.1289	45.6091	0.0202																						
asymitemknn	0.8	0.6	60.0	2.0	0.0109	0.0874	0.0235	0.0131	0.0049	0.0858	2.0225	0.1267	0.0179	0.1174	0.027	0.0164	0.0059	0.087	1.9844	0.1281																						
asymitemknn	0.0	0.4	60.0	2.0	0.0114	0.0884	0.037	0.0174	0.0083	0.0834	5.7548	0.0069	0.0213	0.1384	0.0729	0.0285	0.0136	0.0845	5.6897	0.0073																						
asymitemknn	0.6	0.6	60.0	2.0	0.0518	0.3094	0.1047	0.0733	0.0362	0.1348	19.8811	0.0714	0.099	0.4466	0.1682	0.1123	0.0605	0.1371	19.6874	0.0721																						
asymitemknn	1.0	0.0	60.0	2.0	0.002	0.0167	0.0074	0.0026	0.0011	0.0243	1.0382	0.2526	0.0031	0.0239	0.0081	0.0036	0.0016	0.0248	1.038	0.2532																						
asymitemknn	0.2	0.2	60.0	2.0	0.0493	0.2947	0.1237	0.0766	0.0397	0.082	47.2778	0.0068	0.0973	0.4427	0.2348	0.1275	0.0732	0.084	45.8127	0.0073																						
asymitemknn	0.5	0.8	10000.0	6.0	0.0598	0.335	0.1583	0.0947	0.0507	0.1728	33.1304	0.0528	0.1227	0.5038	0.2597	0.1541	0.0944	0.1765	32.6304	0.0531																						
asymitemknn	0.4	1.0	60.0	2.0	0.0571	0.3281	0.1587	0.0933	0.0514	0.1604	38.5763	0.0709	0.1171	0.4733	0.2734	0.1561	0.0984	0.1643	37.7768	0.0713																						
asymitemknn	0.4	0.6	1000.0	2.0	0.0642	0.3694	0.1731	0.1027	0.0552	0.131	45.0836	0.0077	0.131	0.5315	0.3006	0.1722	0.1075	0.133	44.3108	0.0078																						
asymitemknn	0.8	0.5	500.0	1.0	0.0073	0.055	0.0226	0.0098	0.0043	0.0789	1.379	0.1628	0.0095	0.0658	0.0204	0.01	0.0043	0.08	1.353	0.165																						
asymitemknn	0.0	0.4	200.0	2.0	0.0247	0.1847	0.083	0.0424	0.0217	0.0562	22.8952	0.0	0.0531	0.2996	0.1564	0.0707	0.0362	0.0568	22.4335	0.0																						
asymitemknn	0.4	0.6	10000.0	2.0	0.0628	0.3605	0.1787	0.102	0.055	0.1252	54.4866	0.0108	0.1362	0.5525	0.3071	0.1757	0.1077	0.1274	53.8172	0.0113																						
asymitemknn	0.2	0.8	60.0	2.0	0.0482	0.2937	0.1348	0.078	0.0407	0.1482	38.5375	0.0372	0.0948	0.4294	0.2453	0.1289	0.0757	0.1527	37.0252	0.0383																						
asymitemknn	0.4	0.2	1000.0	3.0	0.0597	0.3458	0.1591	0.0952	0.0504	0.0904	47.2128	0.0129	0.1192	0.5124	0.2766	0.1564	0.0943	0.0915	46.4444	0.0133																						
asymitemknn	0.5	1.0	500.0	5.0	0.0504	0.2849	0.1318	0.0817	0.0449	0.1574	29.4124	0.1245	0.1046	0.4179	0.2223	0.1348	0.0855	0.16	29.0086	0.1255																						
asymitemknn	0.8	0.6	200.0	2.0	0.0097	0.0727	0.0276	0.0126	0.0053	0.093	1.5745	0.1472	0.0143	0.0916	0.0332	0.0156	0.0064	0.0946	1.5465	0.1481																						
asymitemknn	0.0	0.4	60.0	6.0	0.0114	0.0884	0.037	0.0174	0.0083	0.0834	5.7548	0.0069	0.0213	0.1384	0.0729	0.0285	0.0136	0.0845	5.6897	0.0073																						
asymitemknn	0.6	0.6	10000.0	3.0	0.0318	0.2141	0.0694	0.043	0.0186	0.1472	15.5979	0.1187	0.0663	0.3254	0.1241	0.0732	0.0365	0.15	15.4243	0.1181																						
asymitemknn	1.0	0.0	1000.0	5.0	0.001	0.0098	0.0016	0.001	0.0003	0.0163	1.007	0.0665	0.0012	0.0105	0.0021	0.0012	0.0003	0.0164	1.0055	0.0664																						
asymitemknn	0.4	0.6	60.0	7.0	0.0679	0.3802	0.1783	0.1087	0.0592	0.1254	46.2885	0.0198	0.1375	0.5639	0.3078	0.1792	0.1097	0.1289	45.6091	0.0202																						
asymitemknn	0.2	0.2	500.0	7.0	0.051	0.3153	0.1407	0.0813	0.0424	0.0522	52.197	0.0001	0.1069	0.4905	0.2618	0.1402	0.0811	0.0534	51.3327	0.0001																						
asymitemknn	0.8	0.5	10000.0	7.0	0.0069	0.0521	0.023	0.0092	0.0041	0.0791	1.2371	0.198	0.01	0.062	0.0208	0.0102	0.0043	0.0812	1.2238	0.1989																						
asymitemknn	0.6	0.6	1000.0	7.0	0.036	0.2387	0.0814	0.0508	0.0231	0.1489	16.617	0.0788	0.0732	0.3426	0.1298	0.0812	0.0419	0.1513	16.4999	0.0799																						
asymitemknn	1.0	0.0	500.0	2.0	0.0005	0.0049	0.001	0.0004	0.0001	0.0122	1.0033	0.304	0.0006	0.0048	0.0034	0.0009	0.0004	0.0122	1.0032	0.3032																						
asymitemknn	0.4	0.8	60.0	2.0	0.0639	0.3595	0.1755	0.1042	0.0577	0.147	43.8249	0.0393	0.1299	0.5391	0.302	0.1722	0.1065	0.1509	43.0436	0.0406																						
asymitemknn	0.5	1.0	60.0	2.0	0.0593	0.3399	0.1642	0.0971	0.0542	0.1631	33.6928	0.0648	0.1221	0.4885	0.274	0.1593	0.1	0.1666	33.0714	0.0664																						
asymitemknn	0.4	0.5	10000.0	2.0	0.0621	0.3566	0.1714	0.0995	0.0538	0.1143	56.467	0.0119	0.1302	0.5401	0.298	0.1677	0.1016	0.1166	55.8747	0.0121																						
asymitemknn	0.8	0.6	500.0	3.0	0.0085	0.0609	0.0269	0.0115	0.0051	0.0943	1.5551	0.1645	0.0115	0.0744	0.0256	0.0124	0.0055	0.0967	1.5125	0.165																						
asymitemknn	0.0	0.4	1000.0	2.0	0.0437	0.28	0.1209	0.0694	0.0361	0.0322	52.3548	0.0	0.0897	0.4246	0.2252	0.117	0.0658	0.0324	51.8007	0.0																						
asymitemknn	1.0	0.0	200.0	5.0	0.0005	0.0039	0.0006	0.0004	0.0001	0.016	1.0287	0.1513	0.0008	0.0076	0.0036	0.001	0.0004	0.0163	1.0287	0.1516																						
asymitemknn	0.4	0.6	60.0	6.0	0.0679	0.3802	0.1783	0.1087	0.0592	0.1254	46.2885	0.0198	0.1375	0.5639	0.3073	0.1791	0.1096	0.1289	45.6091	0.0202																						
asymitemknn	0.2	0.2	60.0	6.0	0.0493	0.2947	0.1237	0.0766	0.0397	0.082	47.2778	0.0068	0.0973	0.4427	0.2348	0.1275	0.0732	0.084	45.8127	0.0073																						
asymitemknn	0.4	0.8	10000.0	7.0	0.0674	0.3733	0.1769	0.106	0.057	0.1504	46.9668	0.0133	0.1381	0.5439	0.3121	0.1787	0.111	0.1528	46.3559	0.0138																						
asymitemknn	0.5	1.0	1000.0	1.0	0.051	0.2878	0.131	0.0827	0.0456	0.1559	26.5072	0.1455	0.1028	0.4265	0.2232	0.1331	0.0829	0.1586	26.1592	0.1473																						
asymitemknn	0.8	0.5	500.0	3.0	0.0073	0.055	0.0226	0.0098	0.0043	0.0789	1.379	0.1628	0.0095	0.0658	0.0204	0.01	0.0043	0.08	1.353	0.165																						
asymitemknn	0.0	0.4	200.0	5.0	0.0247	0.1847	0.083	0.0424	0.0217	0.0562	22.8952	0.0	0.0531	0.2996	0.1564	0.0707	0.0362	0.0568	22.4335	0.0																						
asymitemknn	1.0	0.6	60.0	3.0	0.002	0.0167	0.0079	0.0027	0.0011	0.0242	1.0378	0.2546	0.0031	0.0239	0.0078	0.0035	0.0015	0.0247	1.0375	0.2553																						
